,id,question,label,group,prediction,correct
0,SP-0,"Select the most suitable option to answer the question. Ignore [MASK] options.
 Question:  Mr. and Mrs. Mustard have six daughters and each daughter has one brother. But there are only 9 people in the family, how is that possible?

What is the correct answer to the question from the following choices?
(A) Some daughters get married and have their own family.
(B) Each daughter shares the same brother.
(C) [MASK]
(D) None of above.",1,OG,0,0
1,SP-0_SR,"Select the most suitable option to answer the question. Ignore [MASK] options.
 Question:  The six daughters of Mr. and Mrs. Mustard each have one brother. However, the family only consists of nine people; how is that possible?

What is the correct answer to the question from the following choices?
(A) Some brothers were not loved by family and moved away.
(B) Some daughters get married and have their own family.
(C) Each daughter shares the same brother.
(D) [MASK]
.",2,SR,0,0
2,SP-0_CR,"Select the most suitable option to answer the question. Ignore [MASK] options.
 Question:  A chess team has five players, and each player has one coach. But there are only six participants in the team. How is that possible?

What is the correct answer to the question from the following choices?
(A) Each player shares the same coach.
(B) Some players are backups and not allowed to play.
(C) [MASK]
(D) None of above.",0,CR,1,0
3,SP-1,"Select the most suitable option to answer the question. Ignore [MASK] options.
 Question:  A woman shoots her husband. Then she holds him underwater for over 5 minutes. Finally, she hangs him. But 5 minutes later, they both go out and enjoy a wonderful dinner together. How can this be?

What is the correct answer to the question from the following choices?
(A) The woman gets arrested for murder after dinner.
(B) [MASK]
(C) The woman was a photographer. She shot a picture of her husband, developed it, and hung it up to dry.
(D) None of above.",2,OG,2,1
4,SP-1_SR,"Select the most suitable option to answer the question. Ignore [MASK] options.
 Question:  An individual shoots their spouse. She continues by keeping him submerged for over five minutes. She hangs him finally. However, they go out together and have a fantastic supper five minutes later. Why is this the case?

What is the correct answer to the question from the following choices?
(A) The woman gets arrested for murder after dinner.
(B) The woman was a photographer. She shot a picture of her husband, developed it, and hung it up to dry.
(C) [MASK]
(D) None of above.",1,SR,1,1
5,SP-1_CR,"Select the most suitable option to answer the question. Ignore [MASK] options.
 Question:  A woman shoots publicly at people at a National Park. The park is full of people, but no one gets killed. How is that possible?

What is the correct answer to the question from the following choices?
(A) The woman was a photographer.
(B) People are enjoying themselves in the park.
(C) [MASK]
(D) None of above.",0,CR,0,1
6,SP-2,"Select the most suitable option to answer the question. Ignore [MASK] options.
 Question:  Samuel was out for a walk when it started to rain. He did not have an umbrella and he wasn't wearing a hat. His clothes were soaked, yet not a single hair on his head got wet. How could this happen?

What is the correct answer to the question from the following choices?
(A) His hair is dyed.

(B) This man is bald.
(C) This man walk upside down to avoid rain.
(D) [MASK]
.",1,OG,0,0
7,SP-2_SR,"Select the most suitable option to answer the question. Ignore [MASK] options.
 Question:  Rain began to fall as Samuel was taking a stroll. He wasn't wearing a hat, and he didn't have an umbrella. Even though his clothes were completely drenched, not a single hair on his head was moist. How is this even possible?

What is the correct answer to the question from the following choices?
(A) This man walk upside down to avoid rain.
(B) [MASK]
(C) This man is bald.
(D) None of above.",2,SR,0,0
8,SP-2_CR,"Select the most suitable option to answer the question. Ignore [MASK] options.
 Question:  Tom is a clean freak but he never dries his hair after a shower. How is this possible?

What is the correct answer to the question from the following choices?
(A) His hair is dyed.

(B) He tries to stand upside down druing shower to avoid rain.
(C) This man is bald.
(D) [MASK]
.",2,CR,1,0
9,SP-5,"Select the most suitable option to answer the question. Ignore [MASK] options.
 Question:  Five apples are in a basket. How do you divide them among five girls so that each girl gets an apple, but one apple remains in the basket?

What is the correct answer to the question from the following choices?
(A) Two girls decide to share one apple.
(B) One girl is polite and return her apple back.
(C) Give the fifth girl her apple in the basket.
(D) [MASK]
.",2,OG,0,0
10,SP-5_SR,"Select the most suitable option to answer the question. Ignore [MASK] options.
 Question:  There are five apples in a basket. You distribute them among the five girls, giving each one an apple while leaving one apple in the basket. How is that even doable?

What is the correct answer to the question from the following choices?
(A) Two girls decide to share one apple.
(B) [MASK]
(C) One girl is polite and return her apple back.
(D) None of above.",1,SR,0,0
11,SP-5_CR,"Select the most suitable option to answer the question. Ignore [MASK] options.
 Question:  There is a peculiar vase holding seven magical beans. You must distribute these beans among seven sorcerers, ensuring each one gets a bean, but still leaving one bean in the vase. How could this enchanting scenario occur?

What is the correct answer to the question from the following choices?
(A) Two sorcerers decide to share one apple.
(B) Hand over the final bean to the seventh sorcerer without removing it from the vase.
(C) One sorcerers is polite and return the apple back.
(D) [MASK]
.",1,CR,2,0
12,SP-6,"Select the most suitable option to answer the question. Ignore [MASK] options.
 Question:  Tom and his younger sister were fighting. Their mother was tired of the fighting and decided to punish them by making them stand on the same piece of newspaper in such a way that they couldn't touch each other. How did she accomplish this?

What is the correct answer to the question from the following choices?
(A) Tom's mother slid a newspaper under a door, each sibling standing on each side.
(B) Tom and his younger sister stand on the newspaper back-to-back.
(C) The newspaper was folded multiple times and ended with a special shape.
(D) [MASK]
.",0,OG,0,1
13,SP-6_SR,"Select the most suitable option to answer the question. Ignore [MASK] options.
 Question:  Tom was arguing with his younger sister. Because of the fighting, their mother decided to have them stand on the same piece of newspaper so they couldn't touch each other as punishment. How did she manage to do this?

What is the correct answer to the question from the following choices?
(A) The newspaper was folded multiple times and ended with a special shape.
(B) Tom and his younger sister stand on the newspaper back-to-back.
(C) Tom's mother slid a newspaper under a door, each sibling standing on each side.
(D) [MASK]
.",2,SR,2,1
14,SP-6_CR,"Select the most suitable option to answer the question. Ignore [MASK] options.
 Question:  A couple is having a disagreement over the man's error. The man kept apologizing and pleading with the woman to allow him to see her directly. The woman was still upset. Thus, she wouldn't agree. The couple, though, was positioned on the same mat. How is that even doable?

What is the correct answer to the question from the following choices?
(A) The mat was folded in multiple times and end up with a special shape.
(B) The woman kept turning her back to the man.
(C) The couple was standing on two sides of the girl's apartment door, which had a rug under it.
(D) [MASK]
.",2,CR,2,1
15,SP-7,"Select the most suitable option to answer the question. Ignore [MASK] options.
 Question:  A horse is tied to a five-meter rope in front of an old saloon. Ten meters behind the horse is a bale of hay. Without breaking his rope, the horse is able to eat the hay whenever he chooses.
How is this possible?

What is the correct answer to the question from the following choices?
(A) The rope stretches proportionally, providing the extra length needed for the horse to reach the hay ten meters away.
(B) The rope is not tied to anything else.
(C) The walls of the saloon retract or collapse inwards, creating more space for the horse to reach the hay.
(D) [MASK]
.",1,OG,0,0
